     15
   .00000   .756563E+04   .683100E+03   .1089E+01   .2979E+02   .2634E+03   .2634E+03
  1.00000   .225180E+06   .595707E+03   .1090E+01   .2821E+02   .2289E+03   .2289E+03
  2.00000   .228836E+06   .506921E+03   .1091E+01   .2589E+02   .1933E+03   .1933E+03
  3.00000   .120913E+06   .439080E+03   .1092E+01   .2368E+02   .1664E+03   .1664E+03
  4.00000   .121756E+06   .391929E+03   .1092E+01   .2192E+02   .1477E+03   .1477E+03
  5.00000   .125680E+06   .343517E+03   .1092E+01   .1991E+02   .1286E+03   .1286E+03
  6.00000   .129905E+06   .293463E+03   .1092E+01   .1764E+02   .1090E+03   .1090E+03
  7.00000   .134307E+06   .241627E+03   .1093E+01   .1506E+02   .8906E+02   .8906E+02
  8.00000   .139180E+06   .188093E+03   .1093E+01   .1216E+02   .6858E+02   .6858E+02
  9.00000   .144249E+06   .132687E+03   .1095E+01   .8899E+01   .4766E+02   .4766E+02
 10.00000   .149034E+06   .753557E+02   .1097E+01   .5244E+01   .2643E+02   .2643E+02
 11.00000   .102331E+06   .170935E+02   .1091E+01   .1234E+01   .5557E+01   .5557E+01
 12.00000   .854125E+04   .259395E+01   .1052E+01   .1891E+00   .8182E+00   .8182E+00
 13.00000   .215750E+04   .972958E+00   .1018E+01   .7099E-01   .2879E+00   .2879E+00
 14.00000   .000000E+00   .000000E+00   .1018E+01   .0000E+00   .0000E+00   .0000E+00
     30
   .00000   .130006E+04   .897000E+03   .1325E+01   .3626E+02   .5395E+03   .5395E+03
  1.00000   .119121E+06   .862478E+03   .1331E+01   .3574E+02   .5163E+03   .5163E+03
  2.00000   .112394E+06   .818343E+03   .1337E+01   .3501E+02   .4872E+03   .4872E+03
  3.00000   .111411E+06   .775443E+03   .1341E+01   .3422E+02   .4594E+03   .4594E+03
  4.00000   .111411E+06   .732670E+03   .1344E+01   .3334E+02   .4321E+03   .4321E+03
  5.00000   .112213E+06   .689777E+03   .1345E+01   .3235E+02   .4056E+03   .4056E+03
  6.00000   .113361E+06   .646470E+03   .1347E+01   .3127E+02   .3789E+03   .3789E+03
  7.00000   .112725E+06   .603019E+03   .1348E+01   .3008E+02   .3521E+03   .3521E+03
  8.00000   .111227E+06   .560052E+03   .1350E+01   .2878E+02   .3259E+03   .3259E+03
  9.00000   .109302E+06   .517712E+03   .1351E+01   .2737E+02   .2999E+03   .2999E+03
 10.00000   .107434E+06   .476082E+03   .1353E+01   .2587E+02   .2745E+03   .2745E+03
 11.00000   .105407E+06   .435165E+03   .1355E+01   .2429E+02   .2496E+03   .2496E+03
 12.00000   .103796E+06   .394891E+03   .1356E+01   .2260E+02   .2252E+03   .2252E+03
 13.00000   .102014E+06   .355253E+03   .1359E+01   .2083E+02   .2014E+03   .2014E+03
 14.00000   .100730E+06   .316158E+03   .1363E+01   .1897E+02   .1780E+03   .1780E+03
 15.00000   .999686E+05   .277407E+03   .1368E+01   .1700E+02   .1550E+03   .1550E+03
 16.00000   .997937E+05   .238811E+03   .1374E+01   .1494E+02   .1320E+03   .1320E+03
 17.00000   .100413E+06   .200110E+03   .1383E+01   .1276E+02   .1093E+03   .1093E+03
 18.00000   .102010E+06   .160965E+03   .1397E+01   .1045E+02   .8636E+02   .8636E+02
 19.00000   .106400E+06   .120595E+03   .1419E+01   .7964E+01   .6296E+02   .6296E+02
 20.00000   .888644E+05   .806296E+02   .1439E+01   .5390E+01   .4116E+02   .4116E+02
 21.00000   .552822E+05   .536510E+02   .1449E+01   .3619E+01   .2706E+02   .2706E+02
 22.00000   .395407E+05   .354873E+02   .1468E+01   .2419E+01   .1743E+02   .1743E+02
 23.00000   .287212E+05   .222446E+02   .1497E+01   .1532E+01   .1049E+02   .1049E+02
 24.00000   .196976E+05   .128110E+02   .1538E+01   .8919E+00   .5650E+01   .5650E+01
 25.00000   .122809E+05   .658767E+01   .1597E+01   .4631E+00   .2607E+01   .2607E+01
 26.00000   .678088E+04   .286979E+01   .1675E+01   .2035E+00   .9637E+00   .9637E+00
 27.00000   .294263E+04   .987078E+00   .1756E+01   .7052E-01   .2755E+00   .2755E+00
 28.00000   .112558E+04   .249360E+00   .2785E+01   .0000E+00   .0000E+00   .0000E+00
 29.00000   .000000E+00   .000000E+00   .2785E+01   .0000E+00   .0000E+00   .0000E+00
